zip,city,metro,median_home_value,fips
30213,Fairburn,"Atlanta-Sandy Springs-Alpharetta, GA",318689.5731429212,13121
18702,Wilkes-Barre,"Scranton--Wilkes-Barre, PA",166973.13871535877,42079
52001,Dubuque,"Dubuque, IA",199523.38275035928,19061
38125,nan,"Memphis, TN-MS-AR",273978.9078595853,47157
94804,Richmond,"San Francisco-Oakland-Berkeley, CA",558138.7496811823,06013
7032,Kearny,"New York-Newark-Jersey City, NY-NJ-PA",571415.8862010944,34017
89139,Las Vegas,"Las Vegas-Henderson-Paradise, NV",459955.663252367,32003
99362,Walla Walla,"Walla Walla, WA",400616.2299140971,53071
30909,Augusta,"Augusta-Richmond County, GA-SC",258145.64963730983,13245
29203,Columbia,"Columbia, SC",124271.92585098316,45079
97230,Portland,"Portland-Vancouver-Hillsboro, OR-WA",443532.18990195217,41051
76262,Roanoke,"Dallas-Fort Worth-Arlington, TX",602755.6857208259,48121
30319,Brookhaven,"Atlanta-Sandy Springs-Alpharetta, GA",743429.8166800196,13089
11357,New York,"New York-Newark-Jersey City, NY-NJ-PA",983904.3538403384,36081
73034,Edmond,"Oklahoma City, OK",410461.7355565748,40109
32940,Melbourne,"Palm Bay-Melbourne-Titusville, FL",477042.1644077925,12009
28806,Asheville,"Asheville, NC",393178.19604773103,37021
74055,Owasso,"Tulsa, OK",309926.0932148592,40143
29621,Anderson,"Greenville-Anderson, SC",309340.8526471949,45007
20164,Sterling,"Washington-Arlington-Alexandria, DC-VA-MD-WV",579814.5050124085,51107
58104,Fargo,"Fargo, ND-MN",390702.35292447713,38017
92506,Riverside,"Riverside-San Bernardino-Ontario, CA",688959.2923707381,06065
85353,Tolleson,"Phoenix-Mesa-Chandler, AZ",389390.2955937912,04013
79109,Amarillo,"Amarillo, TX",226995.59419062396,48381
35405,Tuscaloosa,"Tuscaloosa, AL",238377.70533351795,01125
75220,Dallas,"Dallas-Fort Worth-Arlington, TX",492686.3936884363,48113
20785,Greater Landover,"Washington-Arlington-Alexandria, DC-VA-MD-WV",342053.0171680246,
46360,Michigan City,"Michigan City-La Porte, IN",219566.5521105996,
28376,Raeford,"Fayetteville, NC",282343.09474573,37093
90016,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",915040.9603492528,06037
48307,Rochester Hills,"Detroit-Warren-Dearborn, MI",398257.0339832132,26125
30045,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",391772.1531044825,13135
95831,Sacramento,"Sacramento-Roseville-Folsom, CA",613966.1335612942,06067
77055,Houston,"Houston-The Woodlands-Sugar Land, TX",601578.0696934131,48201
44691,Wooster,"Wooster, OH",253789.48584847923,39169
65802,Springfield,"Springfield, MO",200511.01893892893,29077
75019,Coppell,"Dallas-Fort Worth-Arlington, TX",604277.3724722484,48113
38134,Memphis,"Memphis, TN-MS-AR",219643.0684244169,47157
11580,Valley Stream,"New York-Newark-Jersey City, NY-NJ-PA",729832.6616190734,36059
48111,Belleville,"Detroit-Warren-Dearborn, MI",296100.9367739082,26163
95209,Stockton,"Stockton, CA",480540.0086406564,06077
90503,Torrance,"Los Angeles-Long Beach-Anaheim, CA",1260417.1914152296,06037
63026,Fenton,"St. Louis, MO-IL",338732.612021781,29099
