zip,price_to_income_ratio,annual_rent_to_income_ratio,rent_to_home_value_ratio,affordability_index,affordability_tier
70778,2.901377183467259,0.15402985074626865,0.053088530379285945,55.480402715033684,4
7078,30.500605425911253,0.35860947347021754,0.011757454268942712,5.421874115054932,1
70783,5.3763156037626025,0.27237251390328965,0.05066155597574487,29.987360017513492,2
70785,3.1929823271230897,0.18528302854651313,0.05802820359280067,50.25371574137616,4
70788,2.1525702572308965,0.17492004713011278,0.081261016472063,73.44785369150678,5
7079,14.009105758125601,0.35860947347021754,0.02559831295885648,11.697401450589227,1
70791,4.254482200207167,0.23272071259443003,0.05470012604191834,37.79607167469177,3
7080,5.454703642959912,0.28355797197878446,0.051984120593747976,29.53123265994078,2
70802,1.0955384722417933,0.23272071259443003,0.2124258695527279,133.26024126673624,5
70805,1.0288739251422216,0.23272071259443003,0.22618972733929568,140.7632611698341,5
70806,3.876815655472508,0.23272071259443003,0.060028831204785756,41.336360241796015,3
70807,1.577552718428273,0.23272071259443003,0.14752008593810503,96.18899989492647,5
70808,5.546104139958684,0.23272071259443003,0.04196111481530235,29.233348686450437,2
70809,4.917740830300186,0.23272071259443003,0.04732268751548349,32.85439528442388,2
7081,7.30823601851281,0.2785263157894737,0.038111291847160736,22.240250973159448,2
70810,5.251083686514779,0.23272071259443003,0.04431860668914423,30.828625702759616,2
70811,2.5255550714186072,0.23272071259443003,0.09214636229005711,62.172764229165416,4
70812,2.1054559048670916,0.23272071259443003,0.1105322187258634,73.72663985283913,5
70814,3.32929417164737,0.23272071259443003,0.06990091610897733,47.83167563385924,4
70815,3.498818048164559,0.23272071259443003,0.06651409401426654,45.612549109011475,4
70816,3.757141782641819,0.23272071259443003,0.06194089178896874,42.600807324945684,3
70817,4.8141805730498035,0.23272071259443003,0.04834066962448824,33.53907736271416,2
70818,4.2911944559352655,0.23272071259443003,0.054232152605563654,37.48399959962503,3
70819,2.874479069471402,0.23272071259443003,0.08096100440112994,55.01228701100909,4
7082,6.337261946651517,0.2022812060424439,0.03191933799569785,25.751495261086568,2
70820,3.7834856241798493,0.23272071259443003,0.06150960667251833,42.31586862051144,3
7083,6.009098394125249,0.2785263157894737,0.046350766374831355,26.904360863530435,2
7086,9.63124182183499,0.3817440762659175,0.039636018213192965,16.859304668322313,1
7087,6.427002395034341,0.3817440762659175,0.05939690897903855,24.94450429296751,2
7088,4.943759829734113,0.2785263157894737,0.05633896576332136,32.492150291243796,2
7090,12.924564930585147,0.2785263157894737,0.021550150220558617,12.712700183860655,1
7092,10.674950088085861,0.2785263157894737,0.02609158014708962,15.345942242799218,1
7093,5.039102474048323,0.3817440762659175,0.07575636300946888,31.48456874523906,2
7094,7.365245257494306,0.3817440762659175,0.051830463605741325,21.873008534329642,2
7095,4.582780754000618,0.28355797197878446,0.061874653665516866,34.92727880633633,2
71001,2.9283820217946013,0.2920508929613634,0.09973114531770884,53.3660767582614,4
71004,3.1332683384765625,0.2802488858992685,0.08944298911708573,50.19927713855586,4
71006,5.279183996920382,0.20638409857890336,0.0390939392715423,30.768624508193824,2
71007,4.459839731249409,0.2802488858992685,0.06283833114800243,35.86796208611277,3
71008,1.9205275289673913,0.2920508929613634,0.1520680586746862,78.79370775849281,5
71016,3.393746343480954,0.2920508929613634,0.08605560445681623,46.44534794847318,4
71019,3.3434969887072934,0.228383651673855,0.06830682140442294,47.67690345298308,4
7102,5.462788925528472,0.35860947347021754,0.06564585935114187,29.2302180165824,2
71023,3.394369927529014,0.2990981525260485,0.08811595639600243,46.376570327898804,4
7103,5.353485846074248,0.35860947347021754,0.06698616262022783,29.801504424176947,2
71033,4.9920689256134745,0.2802488858992685,0.05613882541992923,32.18185674025711,2
71037,3.8242407648798094,0.20638409857890336,0.05396733920998035,42.06809978478169,3
71039,3.4338652939109404,0.2990981525260485,0.08710247110054685,45.872434210829084,4
7104,6.669892955619619,0.35860947347021754,0.05376540161234168,24.12324335709883,2
71040,2.8600497354947616,0.3124180558156958,0.1092351828495914,54.31839190617563,4
71044,2.4737155687839536,0.2802488858992685,0.11329066665373949,62.64373229962079,4
71047,4.480034875567981,0.2802488858992685,0.06255506791422877,35.71274904953237,3
7105,7.6592748848134455,0.35860947347021754,0.046820290283778224,21.101459377389105,1
71051,3.252244172531036,0.20638409857890336,0.0634589802088219,49.16662223886246,4
71052,2.4261641090933184,0.2676732186238882,0.11032774642928847,63.98903472001959,4
71055,3.9232100720593426,0.2990981525260485,0.07623811802895583,40.42747520283533,3
7106,6.278223176189782,0.35860947347021754,0.05711958039820043,25.572977292003678,2
71060,2.848848072788728,0.2802488858992685,0.09837270319049825,54.902568862643,4
71061,1.9118565880949479,0.2802488858992685,0.14658467985745727,79.41465003900466,5
71064,1.8403612501291748,0.20638409857890336,0.1121432537032701,84.2622978159804,5
71067,3.1149708276447976,0.20638409857890336,0.06625554780394158,51.24168502665898,4
71068,3.2540653233470502,0.2920508929613634,0.08974954831606365,48.32646534957753,4
7107,6.879417032888928,0.35860947347021754,0.05212788696422781,23.41320509135078,2
71070,2.76236264497065,0.26870007262164125,0.09727183109388456,56.66051055408128,4
71075,2.3530645632881866,0.2990981525260485,0.12711004924917443,65.29639999163214,4
71078,7.207392055307703,0.2676732186238882,0.037138706562627875,22.565699647687456,2
7108,6.782820079919043,0.35860947347021754,0.052870261815126565,23.7352897843302,2
71082,1.757782798357339,0.2802488858992685,0.15943317124343412,85.70675086350703,5
